disease,disease_pre_clean,taxa
abortion_in_ewes,abortion in ewes,sheep/goats
african_horse_sickness,african horse sickness,equidae
african_swine_fever,african swine fever,swine
anthrax,anthrax,cattle
anthrax,anthrax,sheep/goats
anthrax,anthrax,equidae
anthrax,anthrax,swine
anthrax,anthrax,cervidae
anthrax,anthrax,camelidae
anthrax,anthrax,dogs
aujeszkys_disease,aujeszkys disease,swine
aujeszkys_disease,aujeszkys disease,dogs
avian_chlamydiosis,avian chlamydiosis,birds
avian_infectious_bronchitis,avian infectious bronchitis,birds
avian_infectious_laryngotracheitis,avian infectious laryngotracheitis,birds
bovine_anaplasmosis,bovine anaplasmosis,cattle
bovine_anaplasmosis,bovine anaplasmosis,buffaloes
bovine_babesiosis,bovine babesiosis,cattle
bovine_genital_campylobacteriosis,bovine genital campylobacteriosis,cattle
bovine_leukosis,bovine leukosis,cattle
bovine_spongiform_encephalopathy,bovine spongiform encephalopathy,cattle
bovine_spongiform_encephalopathy,bovine spongiform encephalopathy,buffaloes
bovine_spongiform_encephalopathy,bovine spongiform encephalopathy,sheep/goats
brucella_abortus,brucella abortus,cattle
brucella_abortus,brucella abortus,sheep/goats
brucella_melitensis,brucella melitensis,sheep/goats
brucella_melitensis,brucella melitensis,cattle
brucella_melitensis,brucella melitensis,dogs
brucella_melitensis,brucella melitensis,equidae
brucella_melitensis,brucella melitensis,swine
brucella_suis,brucella suis,swine
brucella_suis,brucella suis,cattle
brucellosis_sheep_goat,"brucellosis (sheep, goat)",sheep/goats
caprine_arthritis_and_encephalitis,caprine arthritis and encephalitis,sheep/goats
classical_swine_fever,classical swine fever,swine
contagious_agalactia,contagious agalactia,sheep/goats
dourine,dourine,equidae
duck_viral_hepatitis,duck viral hepatitis,birds
eastern_equine_encephalitis,eastern equine encephalitis,equidae
epizootic_haemorrhagic_disease,epizootic haemorrhagic disease,cattle
epizootic_haemorrhagic_disease,epizootic haemorrhagic disease,birds
equine_encephalitis,equine encephalitis,equidae
equine_herpes_virus,equine herpes virus,equidae
equine_infectious_anaemia,equine infectious anaemia,equidae
equine_influenza,equine influenza,equidae
equine_piroplasmosis,equine piroplasmosis,equidae
equine_viral_arthritis,equine viral arthritis,equidae
equine_viral_rhinopneumonitis,equine viral rhinopneumonitis,equidae
foot_and_mouth_disease,foot-and-mouth disease,cattle
foot_and_mouth_disease,foot-and-mouth disease,sheep/goats
foot_and_mouth_disease,foot-and-mouth disease,swine
foot_and_mouth_disease,foot-and-mouth disease,buffaloes
foot_and_mouth_disease,foot-and-mouth disease,camelidae
foot_and_mouth_disease,foot-and-mouth disease,cervidae
fowl_typhoid,fowl typhoid,birds
glanders,glanders,equidae
glanders,glanders,camelidae
heartwater,heartwater,camelidae
hemorrhagic_septicemia,hemorrhagic septicemia,cattle
hemorrhagic_septicemia,hemorrhagic septicemia,camelidae
hemorrhagic_septicemia,hemorrhagic septicemia,equidae
hemorrhagic_septicemia,hemorrhagic septicemia,sheep/goats
highly_pathogenic_avian_influenza,highly pathogenic avian influenza,birds
highly_pathogenic_avian_influenza,highly pathogenic avian influenza,cats
infectious_bovine_rhinotracheitis,infectious bovine rhinotracheitis,cattle
leishmaniosis,leishmaniosis,dogs
low_pathogenic_avian_influenza,low pathogenic avian influenza,birds
lumpy_skin_disease,lumpy skin disease,cattle
lumpy_skin_disease,lumpy skin disease,buffaloes
maedi_visna,maedi visna,sheep/goats
malignant_catarrhal_fever,malignant catarrhal fever,cattle
mycobacterium_tuberculosis,mycobacterium tuberculosis,cattle
mycobacterium_tuberculosis,mycobacterium tuberculosis,sheep/goats
