disease,disease_recode
rabies,rabies
brucella abortus,brucella_abortus
"primary screwworm, new world screwworm",primary_screwworm_new_world_screwworm
anthrax,anthrax
pleuropneumonia,pleuropneumonia
foot-and-mouth disease,foot_and_mouth_disease
brucella melitensis,brucella_melitensis
mycobacterium tuberculosis,mycobacterium_tuberculosis
echinococcosis,echinococcosis
crimean congo haemorrhagic fever,crimean_congo_haemorrhagic_fever
west nile encephalitis,west_nile_encephalitis
aujeszkys disease,aujeszkys_disease
trypanosomiasis,trypanosomiasis
rift valley fever,rift_valley_fever
ovine bluetongue disease,ovine_bluetongue_disease
brucella suis,brucella_suis
theileriases,theileriases
vesicular stomatitis,vesicular_stomatitis
peste des petits ruminants,peste_des_petits_ruminants
paratuberculosis,paratuberculosis
hemorrhagic septicemia,hemorrhagic_septicemia
lumpy skin disease,lumpy_skin_disease
bovine babesiosis,bovine_babesiosis
highly pathogenic avian influenza,highly_pathogenic_avian_influenza
bovine anaplasmosis,bovine_anaplasmosis
leptospirosis,leptospirosis
newcastle disease,newcastle_disease
ovine pox disease,ovine_pox_disease
classical swine fever,classical_swine_fever
bovine genital campylobacteriosis,bovine_genital_campylobacteriosis
african swine fever,african_swine_fever
bovine spongiform encephalopathy,bovine_spongiform_encephalopathy
cysticercosis,cysticercosis
african horse sickness,african_horse_sickness
infectious bovine rhinotracheitis,infectious_bovine_rhinotracheitis
avian infectious bronchitis,avian_infectious_bronchitis
venezuelan equine encephalitis,venezuelan_equine_encephalitis
infectious bursal disease,infectious_bursal_disease
glanders,glanders
equine infectious anaemia,equine_infectious_anaemia
bovine leukosis,bovine_leukosis
scrapie,scrapie
surra,surra
fowl typhoid,fowl_typhoid
avian infectious laryngotracheitis,avian_infectious_laryngotracheitis
mycoplasma infection,mycoplasma_infection
dourine,dourine
caprine arthritis and encephalitis,caprine_arthritis_and_encephalitis
porcine reproductive and respiratory syndrome,porcine_reproductive_and_respiratory_syndrome
equine piroplasmosis,equine_piroplasmosis
maedi visna,maedi_visna
pullorum disease,pullorum_disease
taylorella equigenitalis,taylorella_equigenitalis
nairobi disease,nairobi_disease
western equine encephalitis,western_equine_encephalitis
rinderpest,rinderpest
equine viral arthritis,equine_viral_arthritis
parasitic gastroenteritis,parasitic_gastroenteritis
bovine viral diarrhea,bovine_viral_diarrhea
ovine contagious epididymitis,ovine_contagious_epididymitis
equine influenza,equine_influenza
contagious agalactia,contagious_agalactia
avian chlamydiosis,avian_chlamydiosis
trichomoniasis,trichomoniasis
nipah virus disease,nipah_virus_disease
salmonellosis,salmonellosis
low pathogenic avian influenza,low_pathogenic_avian_influenza
heartwater,heartwater
abortion in ewes,abortion_in_ewes
duck viral hepatitis,duck_viral_hepatitis
q fever,q_fever
turkey rhinotracheitis,turkey_rhinotracheitis
swine vesicular disease,swine_vesicular_disease
japanese encephalitis,japanese_encephalitis
equine viral rhinopneumonitis,equine_viral_rhinopneumonitis
eastern equine encephalitis,eastern_equine_encephalitis
viral haemorrhagic disease,viral_haemorrhagic_disease
trichinellosis,trichinellosis
fowl cholera,fowl_cholera
myxoma virus,myxoma_virus
marek's disease,mareks_disease
poxvirus,poxvirus
leishmaniosis,leishmaniosis
tularemia,tularemia
equine herpes virus,equine_herpes_virus
epizootic haemorrhagic disease,epizootic_haemorrhagic_disease
malignant catarrhal fever,malignant_catarrhal_fever
dermatophilosis,dermatophilosis
equine encephalitis,equine_encephalitis
"brucellosis (sheep, goat)",brucellosis_sheep_goat
equine smallpox,equine_smallpox
epizootic lymphangite,epizootic_lymphangite
swine brucellosis,swine_brucellosis
teschovirus encephalomyelitis,teschovirus_encephalomyelitis
chorioptic mange,chorioptic_mange
fowlpox,fowlpox
duck viral enteritis,duck_viral_enteritis
pulmonary adenomatosis,pulmonary_adenomatosis
atrophic rhinitis,atrophic_rhinitis
avian tuberculosis,avian_tuberculosis
american fool brood,american_fool_brood
