disease,disease_recode,disease_recode_rare
rabies,rabies,rabies
brucella abortus,brucella_abortus,brucella_abortus
"primary screwworm, new world screwworm",primary_screwworm_new_world_screwworm,primary_screwworm_new_world_screwworm
anthrax,anthrax,anthrax
pleuropneumonia,pleuropneumonia,pleuropneumonia
foot-and-mouth disease,foot_and_mouth_disease,foot_and_mouth_disease
brucella melitensis,brucella_melitensis,brucella_melitensis
mycobacterium tuberculosis,mycobacterium_tuberculosis,mycobacterium_tuberculosis
echinococcosis,echinococcosis,echinococcosis
crimean congo haemorrhagic fever,crimean_congo_haemorrhagic_fever,crimean_congo_haemorrhagic_fever
west nile encephalitis,west_nile_encephalitis,west_nile_encephalitis
aujeszkys disease,aujeszkys_disease,aujeszkys_disease
trypanosomiasis,trypanosomiasis,trypanosomiasis
rift valley fever,rift_valley_fever,rift_valley_fever
ovine bluetongue disease,ovine_bluetongue_disease,ovine_bluetongue_disease
brucella suis,brucella_suis,brucella_suis
theileriases,theileriases,theileriases
vesicular stomatitis,vesicular_stomatitis,vesicular_stomatitis
peste des petits ruminants,peste_des_petits_ruminants,peste_des_petits_ruminants
paratuberculosis,paratuberculosis,paratuberculosis
hemorrhagic septicemia,hemorrhagic_septicemia,hemorrhagic_septicemia
lumpy skin disease,lumpy_skin_disease,lumpy_skin_disease
bovine babesiosis,bovine_babesiosis,bovine_babesiosis
highly pathogenic avian influenza,highly_pathogenic_avian_influenza,highly_pathogenic_avian_influenza
bovine anaplasmosis,bovine_anaplasmosis,bovine_anaplasmosis
leptospirosis,leptospirosis,leptospirosis
newcastle disease,newcastle_disease,newcastle_disease
ovine pox disease,ovine_pox_disease,ovine_pox_disease
classical swine fever,classical_swine_fever,classical_swine_fever
bovine genital campylobacteriosis,bovine_genital_campylobacteriosis,bovine_genital_campylobacteriosis
african swine fever,african_swine_fever,african_swine_fever
bovine spongiform encephalopathy,bovine_spongiform_encephalopathy,bovine_spongiform_encephalopathy
cysticercosis,cysticercosis,cysticercosis
african horse sickness,african_horse_sickness,african_horse_sickness
infectious bovine rhinotracheitis,infectious_bovine_rhinotracheitis,infectious_bovine_rhinotracheitis
avian infectious bronchitis,avian_infectious_bronchitis,avian_infectious_bronchitis
venezuelan equine encephalitis,venezuelan_equine_encephalitis,venezuelan_equine_encephalitis
infectious bursal disease,infectious_bursal_disease,infectious_bursal_disease
glanders,glanders,glanders
equine infectious anaemia,equine_infectious_anaemia,equine_infectious_anaemia
bovine leukosis,bovine_leukosis,bovine_leukosis
scrapie,scrapie,scrapie
surra,surra,surra
fowl typhoid,fowl_typhoid,fowl_typhoid
avian infectious laryngotracheitis,avian_infectious_laryngotracheitis,avian_infectious_laryngotracheitis
mycoplasma infection,mycoplasma_infection,mycoplasma_infection
dourine,dourine,dourine
caprine arthritis and encephalitis,caprine_arthritis_and_encephalitis,caprine_arthritis_and_encephalitis
porcine reproductive and respiratory syndrome,porcine_reproductive_and_respiratory_syndrome,porcine_reproductive_and_respiratory_syndrome
equine piroplasmosis,equine_piroplasmosis,equine_piroplasmosis
maedi visna,maedi_visna,maedi_visna
pullorum disease,pullorum_disease,pullorum_disease
taylorella equigenitalis,taylorella_equigenitalis,taylorella_equigenitalis
nairobi disease,nairobi_disease,nairobi_disease
western equine encephalitis,western_equine_encephalitis,western_equine_encephalitis
rinderpest,rinderpest,rinderpest
equine viral arthritis,equine_viral_arthritis,equine_viral_arthritis
parasitic gastroenteritis,parasitic_gastroenteritis,parasitic_gastroenteritis
bovine viral diarrhea,bovine_viral_diarrhea,bovine_viral_diarrhea
ovine contagious epididymitis,ovine_contagious_epididymitis,ovine_contagious_epididymitis
equine influenza,equine_influenza,equine_influenza
contagious agalactia,contagious_agalactia,contagious_agalactia
avian chlamydiosis,avian_chlamydiosis,avian_chlamydiosis
trichomoniasis,trichomoniasis,trichomoniasis
nipah virus disease,nipah_virus_disease,nipah_virus_disease
salmonellosis,salmonellosis,salmonellosis
low pathogenic avian influenza,low_pathogenic_avian_influenza,low_pathogenic_avian_influenza
heartwater,heartwater,heartwater
abortion in ewes,abortion_in_ewes,abortion_in_ewes
duck viral hepatitis,duck_viral_hepatitis,duck_viral_hepatitis
q fever,q_fever,q_fever
turkey rhinotracheitis,turkey_rhinotracheitis,turkey_rhinotracheitis
swine vesicular disease,swine_vesicular_disease,swine_vesicular_disease
japanese encephalitis,japanese_encephalitis,japanese_encephalitis
equine viral rhinopneumonitis,equine_viral_rhinopneumonitis,equine_viral_rhinopneumonitis
eastern equine encephalitis,eastern_equine_encephalitis,eastern_equine_encephalitis
viral haemorrhagic disease,viral_haemorrhagic_disease,viral_haemorrhagic_disease
trichinellosis,trichinellosis,trichinellosis
fowl cholera,fowl_cholera,fowl_cholera
myxoma virus,myxoma_virus,myxoma_virus
marek's disease,mareks_disease,mareks_disease
poxvirus,poxvirus,poxvirus
leishmaniosis,leishmaniosis,leishmaniosis
tularemia,tularemia,tularemia
equine herpes virus,equine_herpes_virus,equine_herpes_virus
epizootic haemorrhagic disease,epizootic_haemorrhagic_disease,rare_disease
malignant catarrhal fever,malignant_catarrhal_fever,rare_disease
dermatophilosis,dermatophilosis,rare_disease
equine encephalitis,equine_encephalitis,rare_disease
"brucellosis (sheep, goat)",brucellosis_sheep_goat,rare_disease
equine smallpox,equine_smallpox,rare_disease
epizootic lymphangite,epizootic_lymphangite,rare_disease
swine brucellosis,swine_brucellosis,rare_disease
teschovirus encephalomyelitis,teschovirus_encephalomyelitis,rare_disease
chorioptic mange,chorioptic_mange,rare_disease
fowlpox,fowlpox,rare_disease
duck viral enteritis,duck_viral_enteritis,rare_disease
pulmonary adenomatosis,pulmonary_adenomatosis,rare_disease
atrophic rhinitis,atrophic_rhinitis,rare_disease
avian tuberculosis,avian_tuberculosis,rare_disease
american fool brood,american_fool_brood,rare_disease
