disease,disease_recode
rabies,rabies
brucella abortus,brucella abortus
"primary screwworm, new world screwworm","primary screwworm, new world screwworm"
anthrax,anthrax
brucella melitensis,brucella melitensis
foot-and-mouth disease,foot-and-mouth disease
pleuropneumonia,pleuropneumonia
echinococcosis,echinococcosis
mycobacterium tuberculosis,mycobacterium tuberculosis
crimean congo haemorrhagic fever,crimean congo haemorrhagic fever
west nile encephalitis,west nile encephalitis
peste des petits ruminants,peste des petits ruminants
rift valley fever,rift valley fever
aujeszkys disease,aujeszkys disease
ovine bluetongue disease,ovine bluetongue disease
trypanosomiasis,trypanosomiasis
paratuberculosis,paratuberculosis
theileriases,theileriases
vesicular stomatitis,vesicular stomatitis
ovine pox disease,ovine pox disease
scrapie,scrapie
brucella suis,brucella suis
nairobi disease,nairobi disease
leptospirosis,leptospirosis
rinderpest,rinderpest
hemorrhagic septicemia,hemorrhagic septicemia
lumpy skin disease,lumpy skin disease
contagious agalactia,contagious agalactia
heartwater,heartwater
q fever,q fever
bovine babesiosis,bovine babesiosis
highly pathogenic avian influenza,highly pathogenic avian influenza
bovine anaplasmosis,bovine anaplasmosis
newcastle disease,newcastle disease
bovine genital campylobacteriosis,bovine genital campylobacteriosis
classical swine fever,classical swine fever
african swine fever,african swine fever
bovine spongiform encephalopathy,bovine spongiform encephalopathy
cysticercosis,cysticercosis
african horse sickness,african horse sickness
infectious bovine rhinotracheitis,infectious bovine rhinotracheitis
avian infectious bronchitis,avian infectious bronchitis
infectious bursal disease,infectious bursal disease
caprine arthritis and encephalitis,caprine arthritis and encephalitis
glanders,glanders
maedi visna,maedi visna
venezuelan equine encephalitis,venezuelan equine encephalitis
equine infectious anaemia,equine infectious anaemia
bovine leukosis,bovine leukosis
abortion in ewes,abortion in ewes
fowl typhoid,fowl typhoid
avian infectious laryngotracheitis,avian infectious laryngotracheitis
surra,surra
mycoplasma infection,mycoplasma infection
dourine,dourine
ovine contagious epididymitis,ovine contagious epididymitis
equine piroplasmosis,equine piroplasmosis
pullorum disease,pullorum disease
porcine reproductive and respiratory syndrome,porcine reproductive and respiratory syndrome
taylorella equigenitalis,taylorella equigenitalis
western equine encephalitis,western equine encephalitis
parasitic gastroenteritis,parasitic gastroenteritis
equine viral arthritis,equine viral arthritis
avian chlamydiosis,avian chlamydiosis
bovine viral diarrhea,bovine viral diarrhea
equine influenza,equine influenza
salmonellosis,salmonellosis
trichomoniasis,trichomoniasis
nipah virus disease,nipah virus disease
low pathogenic avian influenza,low pathogenic avian influenza
duck viral hepatitis,duck viral hepatitis
turkey rhinotracheitis,turkey rhinotracheitis
swine vesicular disease,swine vesicular disease
japanese encephalitis,japanese encephalitis
equine viral rhinopneumonitis,equine viral rhinopneumonitis
eastern equine encephalitis,eastern equine encephalitis
viral haemorrhagic disease,viral haemorrhagic disease
trichinellosis,trichinellosis
myxoma virus,myxoma virus
fowl cholera,fowl cholera
poxvirus,poxvirus
leishmaniosis,leishmaniosis
marek's disease,marek's disease
equine herpes virus,equine herpes virus
tularemia,tularemia
epizootic haemorrhagic disease,rare_disease
malignant catarrhal fever,rare_disease
"brucellosis (sheep, goat)",rare_disease
dermatophilosis,rare_disease
equine encephalitis,rare_disease
pulmonary adenomatosis,rare_disease
teschovirus encephalomyelitis,rare_disease
swine brucellosis,rare_disease
fowlpox,rare_disease
duck viral enteritis,rare_disease
equine smallpox,rare_disease
epizootic lymphangite,rare_disease
atrophic rhinitis,rare_disease
chorioptic mange,rare_disease
avian tuberculosis,rare_disease
american fool brood,rare_disease
